knot,status,pd_id,coordinate_ids,reason
10_162,mismatch,10_163,"[""K10n40"", ""K10n40"", ""K10n40""]",
10_86,mismatch,10_83,"[""K10a84"", ""K10a84"", ""K10a84""]",
