knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
10_142,10,10,,10,0,10,matched,reported_only
10_143,10,10,,10,0,10,unchecked,reported_only
10_144,10,10,,10,0,10,unchecked,reported_only
10_145,10,10,,10,0,10,unchecked,reported_only
10_146,10,10,,10,0,10,unchecked,reported_only
10_147,10,10,,10,0,10,unchecked,reported_only
10_148,10,10,,10,0,10,unchecked,reported_only
10_149,10,10,,10,0,10,matched,reported_only
10_15,10,11,,11,0,11,unchecked,reported_only
10_150,10,10,,10,0,10,unchecked,reported_only
10_151,10,10,,10,0,10,matched,reported_only
10_152,10,10,,10,0,10,unchecked,reported_only
10_153,10,10,,10,0,10,matched,reported_only
10_154,10,10,,11,1,10,unchecked,reported_only
10_155,10,10,,10,0,10,unchecked,reported_only
10_156,10,10,,10,0,10,unchecked,reported_only
10_157,10,10,,10,0,10,unchecked,reported_only
10_158,10,10,,10,0,10,unchecked,reported_only
10_159,10,10,,10,0,10,matched,reported_only
10_16,10,10,,10,0,10,unchecked,reported_only
10_160,10,10,,10,0,10,unchecked,reported_only
10_161,10,10,,10,0,10,unchecked,reported_only
10_162,10,,,10,,10,mismatch,reported_only
10_163,10,10,,10,0,10,unchecked,reported_only
10_164,10,10,,10,0,10,unchecked,reported_only
10_165,10,10,,10,0,10,unchecked,reported_only
10_17,10,10,,10,0,10,unchecked,reported_only
10_18,10,10,,10,0,10,unchecked,reported_only
10_19,10,10,,11,1,10,unchecked,reported_only
10_2,10,11,,11,0,11,unchecked,reported_only
10_20,10,11,,11,0,11,unchecked,reported_only
10_21,10,11,,11,0,11,unchecked,reported_only
10_22,10,11,,11,0,11,unchecked,reported_only
10_23,10,11,,11,0,11,unchecked,reported_only
10_24,10,11,,11,0,11,matched,reported_only
10_25,10,11,,11,0,11,matched,reported_only
10_26,10,11,,11,0,11,matched,reported_only
10_27,10,11,,11,0,11,unchecked,reported_only
10_28,10,11,,11,0,11,unchecked,reported_only
10_29,10,11,,11,0,11,unchecked,reported_only
10_3,10,11,,11,0,11,matched,reported_only
10_30,10,11,,11,0,11,unchecked,reported_only
10_31,10,10,,11,1,10,unchecked,reported_only
10_32,10,11,,11,0,11,unchecked,reported_only
10_33,10,10,,11,1,10,unchecked,reported_only
10_34,10,11,,11,0,11,unchecked,reported_only
10_35,10,11,,11,0,11,unchecked,reported_only
10_36,10,11,,11,0,11,unchecked,reported_only
10_37,10,11,,12,1,11,unchecked,reported_only
10_38,10,11,,11,0,11,matched,reported_only
10_39,10,11,,11,0,11,matched,reported_only
10_4,10,11,,11,0,11,unchecked,reported_only
