knot,crossings,sticks,input_min_dist
10_99,10,11,0.0002658349428661215
K11a1,11,11,0.0068661802172814701
K11a10,11,11,0.0026952090901831622
K11a100,11,11,0.0059144608034025006
K11a101,11,11,0.0033667963289315552
K11a102,11,11,0.0017141925545983469
K11a103,11,11,0.008062647580335397
K11a104,11,11,0.0031098256512696056
K11a105,11,11,0.005979623663284586
K11a106,11,11,0.00063088367369931394
K11a107,11,12,0.0052687061088579866
K11a108,11,11,0.0017590866970110478
K11a109,11,11,0.0085331375216783547
K11a11,11,11,0.0015531912719653075
K11a110,11,11,0.0031402756908202089
K11a111,11,11,0.011678383526858944
K11a112,11,11,0.0013861775038085833
K11a113,11,11,0.0025545819099801396
K11a114,11,11,0.0042845394982184617
K11a115,11,11,0.0030807620746626319
K11a116,11,11,0.00052665457422249842
K11a117,11,11,0.0011795622159351414
K11a118,11,11,0.0004108504415615821
K11a119,11,11,0.00012400874990206175
K11a12,11,11,0.00022638682033288354
K11a120,11,11,0.00066612110299940934
K11a121,11,11,0.0049467590508475521
K11a122,11,11,0.0017047697841100367
K11a123,11,11,0.00027050051558803084
K11a124,11,11,0.0013166102299401422
K11a125,11,11,0.0013717746506339062
K11a126,11,11,0.00036242274763110475
K11a127,11,11,0.0015789835695028619
K11a128,11,11,0.0050762833522053465
K11a129,11,11,0.0059594639090179069
K11a13,11,12,0.0081645063117554914
K11a130,11,11,0.0094702331550856542
K11a131,11,11,0.00068679890034103108
K11a132,11,11,0.0053388812519798556
K11a133,11,12,0.0013726298077713459
K11a134,11,11,0.0034387354941017084
K11a135,11,11,0.00085027626452442609
K11a136,11,11,0.0030103216463689716
K11a137,11,11,0.00014554103352550169
K11a138,11,11,0.0097433430912867731
K11a139,11,11,0.00065240946376331817
K11a14,11,11,0.00037251075063943971
K11a140,11,12,0.0018954567772794825
K11a141,11,11,0.001495110693448718
K11a142,11,11,0.0038162007746110507
K11a143,11,11,0.0011404722473560619
K11a144,11,11,0.0010463488135449694
K11a145,11,11,0.0059922738025514621
K11a146,11,11,0.0013996501407983126
K11a147,11,11,3.7211586378987352e-05
K11a148,11,11,0.0027773469063715655
K11a149,11,11,0.0012230859639505536
K11a15,11,11,0.0030423396438115421
K11a150,11,11,0.00011930059626324439
K11a151,11,11,0.00068166162974594101
K11a152,11,11,0.0069935269377168693
K11a153,11,11,0.0029410089907513088
K11a154,11,12,0.0024071087463292261
K11a155,11,11,0.0014203645528718251
K11a156,11,11,0.0025095545692635501
K11a157,11,11,0.0071684069022394511
K11a158,11,11,0.0026952322623183637
K11a159,11,12,0.0076769813634267785
K11a16,11,11,0.002386218667468082
K11a160,11,11,0.00086179730799561109
K11a161,11,11,0.0047695169886978342
K11a162,11,10,0.00068694857857572818
K11a163,11,11,0.00025941713034473182
